ID,everypolitician
b8b208d1-eed5-44f2-bf6c-3e0beac54079,f0e95251-affb-4cc6-a15c-18f99137f589
978b3732-6265-4b83-a3f0-abfc72dda664,f0e95251-affb-4cc6-a15c-18f99137f589
3936e998-a461-4c16-a8f3-f108288da148,f0e95251-affb-4cc6-a15c-18f99137f589
d5828e3b-8cbb-421c-b7a6-fd2b698e0792,f0e95251-affb-4cc6-a15c-18f99137f589
f4781bb7-ed60-4e44-9602-687c0755f08b,f0e95251-affb-4cc6-a15c-18f99137f589
3943498b-0ab3-4302-9851-a18c8ada26b7,f0e95251-affb-4cc6-a15c-18f99137f589
aab99031-50da-45bd-a47b-b4bd68f6ef77,f0e95251-affb-4cc6-a15c-18f99137f589
547ff3db-4103-4f6b-8f6b-72ae59873f2f,f0e95251-affb-4cc6-a15c-18f99137f589
466afc55-d6ad-45f4-bfe6-902a2470dea5,f0e95251-affb-4cc6-a15c-18f99137f589
4aab2e8a-f638-4252-9c95-a811b589c1fd,f0e95251-affb-4cc6-a15c-18f99137f589
53f80743-4a52-41ac-890d-94cbfc103886,f0e95251-affb-4cc6-a15c-18f99137f589
d43cccd2-c60c-4620-a06d-82495cb74c4c,f0e95251-affb-4cc6-a15c-18f99137f589
15876847-42e8-4ed1-a97a-a7d5ab72bdf7,f0e95251-affb-4cc6-a15c-18f99137f589
9a9dee29-2211-4072-a05c-cc1e842717f7,f0e95251-affb-4cc6-a15c-18f99137f589
e594bb2a-b380-46bf-ab3e-2d1ed9a1f73b,f0e95251-affb-4cc6-a15c-18f99137f589
e27a379b-b4b8-4498-bfef-7d442c20fb0e,f0e95251-affb-4cc6-a15c-18f99137f589
3acd0ba9-ff7b-4a0c-80e3-6d7fd728faf1,f0e95251-affb-4cc6-a15c-18f99137f589
aacfbe1f-8db0-4c00-92f1-7ca201e4e8f1,f0e95251-affb-4cc6-a15c-18f99137f589
01d4e9b7-dcc2-489f-bf19-56afa056801e,f0e95251-affb-4cc6-a15c-18f99137f589
0dca360f-17b5-4af8-9e1f-6d70a4d56d36,f0e95251-affb-4cc6-a15c-18f99137f589
1b2c4842-83e9-4b97-af0a-d701ab6ccb77,f0e95251-affb-4cc6-a15c-18f99137f589
cec6506f-c26d-413a-881b-c49ad3e6aa39,f0e95251-affb-4cc6-a15c-18f99137f589
ce905ebe-8551-454f-8efc-8c2730c306fc,f0e95251-affb-4cc6-a15c-18f99137f589
509741e5-e93a-42e0-807c-0fe3ad049b71,f0e95251-affb-4cc6-a15c-18f99137f589
ab6c3dcc-6312-4ad3-801b-d6d13b361e88,74fe62b2-36f8-4128-8f77-d3025ba6157e
dbc4e36d-2711-4623-94fc-303c744a04f9,cc1ae2ef-bf24-4351-b42c-ddbea4c4d7d6
caa06799-03ed-42ad-8887-100c067b0d65,cc1ae2ef-bf24-4351-b42c-ddbea4c4d7d6
0d9f7605-22b1-4381-a7f3-53f9bd751c24,cc1ae2ef-bf24-4351-b42c-ddbea4c4d7d6
16578561-c77a-4501-88bd-422a7e83fab6,cc1ae2ef-bf24-4351-b42c-ddbea4c4d7d6
21cffa83-d098-4563-8425-63a14ddec39d,cc1ae2ef-bf24-4351-b42c-ddbea4c4d7d6
9ecc754c-e7e6-40e3-a52b-8ce5c7450506,cc1ae2ef-bf24-4351-b42c-ddbea4c4d7d6
6e3966c0-7705-48c7-90f1-39e241e9aa00,cc1ae2ef-bf24-4351-b42c-ddbea4c4d7d6
4e557f0e-f53f-4e11-9fad-61e5c1c26caa,a6756d44-f136-45b0-b461-e9bee80fdb90
a674152e-65b9-414c-b236-6b41dae1d009,a6756d44-f136-45b0-b461-e9bee80fdb90
8cb590e9-f578-4bfa-8514-897860267202,a6756d44-f136-45b0-b461-e9bee80fdb90
f82936a6-0e97-43c9-84f4-2ece83df4004,a6756d44-f136-45b0-b461-e9bee80fdb90
f016f2d7-d031-4d15-831c-654f79933796,a6756d44-f136-45b0-b461-e9bee80fdb90
cd3cf119-1bc1-4a54-ab3c-cbe188f5c0cc,a6756d44-f136-45b0-b461-e9bee80fdb90
6b002823-99b3-47de-8b14-7b9a12e4618d,a6756d44-f136-45b0-b461-e9bee80fdb90
76a161c7-7987-4a13-9ca5-6cf97e18eb8f,a6756d44-f136-45b0-b461-e9bee80fdb90
07b872e8-0a8b-4033-a2d2-07c5b958e5c0,a6756d44-f136-45b0-b461-e9bee80fdb90
261faf8b-36f8-4f9c-b7da-7146f5ff3319,a6756d44-f136-45b0-b461-e9bee80fdb90
a353b991-b892-4bac-937e-7f77609aecf6,a6756d44-f136-45b0-b461-e9bee80fdb90
002179a5-6686-4fef-9bbd-f7d3292672cc,5e622c66-aaf5-44dd-83f6-4a0fa7b1d4c5
e42a31af-8e94-4846-935e-edbec9aa2a6d,19385dcf-28ca-4b60-a9c9-f4832f3948ce
893377dd-b8de-4d73-bf40-1f858e672226,19385dcf-28ca-4b60-a9c9-f4832f3948ce
d9e9ac66-baa0-4bed-a5bf-8f424e5c6df1,19385dcf-28ca-4b60-a9c9-f4832f3948ce
04cfe084-6ed5-4898-944c-47350ee1db18,19385dcf-28ca-4b60-a9c9-f4832f3948ce
9df7b8d2-0e6a-4ee0-bc70-422251d1e200,19385dcf-28ca-4b60-a9c9-f4832f3948ce
8bc41941-7263-4d4f-b52c-44dccfe6e333,19385dcf-28ca-4b60-a9c9-f4832f3948ce
460047f4-4a9c-46f8-a818-1623212dc4a1,19385dcf-28ca-4b60-a9c9-f4832f3948ce
dd0a2af1-516a-4623-9fb1-ee460d309302,19385dcf-28ca-4b60-a9c9-f4832f3948ce
726074ea-f8a6-4740-b661-7f63409f8a09,19385dcf-28ca-4b60-a9c9-f4832f3948ce
a9ee901b-f80f-47b7-8e28-3d0d25cc4dfd,#N/A
c3dab86b-492e-4dba-96bc-4a788f727cde,#N/A
164c0cc3-7b4b-498a-93bb-6a9f559e5d33,#N/A
7df0c219-7d0d-4339-90fa-da76546c8d3c,dcf83408-2141-4326-bae5-7d48d9e71f6a
949b809a-7bf6-49a7-a884-9c30f1e2a925,dcf83408-2141-4326-bae5-7d48d9e71f6a
73328e0e-260e-4f6d-a77d-48c9156f0e63,8dc8feb5-ffd6-444a-9744-cd4429c1795c
c618427c-2359-4798-93cc-e004e36ae2e7,8dc8feb5-ffd6-444a-9744-cd4429c1795c
8d73a415-ae2c-401a-a9c0-3684dc93f0f5,8dc8feb5-ffd6-444a-9744-cd4429c1795c
2d3d3676-b099-4766-ac30-cf45dddf7434,8dc8feb5-ffd6-444a-9744-cd4429c1795c
5f1a17f7-f248-432d-a4c7-d933c4afd258,8dc8feb5-ffd6-444a-9744-cd4429c1795c
d4683d27-4ea8-4bbd-8a51-4ca6d5335220,8dc8feb5-ffd6-444a-9744-cd4429c1795c
97178ed3-d7ac-4151-90f2-fc6526f307db,8dc8feb5-ffd6-444a-9744-cd4429c1795c
f21cee01-7dc7-444c-9378-f3635e50db31,8dc8feb5-ffd6-444a-9744-cd4429c1795c
65757f0b-4817-4459-9611-cd31dabc8232,afd1b17c-a54f-4d55-8f55-b0ed644781f3
78bdc197-6c16-4067-b3ce-ab2ee43abd2c,afd1b17c-a54f-4d55-8f55-b0ed644781f3
db9f876c-9767-413b-90d9-ecc83d233bb5,afd1b17c-a54f-4d55-8f55-b0ed644781f3
